club_id,name,age,market_value_est
9,Adrián Luna,12 Apr 1992 (33),"Rp10,43Mlyr."
9,Jon Toral,5 Feb 1995 (30),"Rp8,69Mlyr."
9,Syahrian Abimanyu,25 Apr 1999 (26),"Rp2,61Mlyr."
9,Ezra Walian,22 Okt 1997 (28),"Rp6,08Mlyr."
9,Pedro Matos,19 Feb 1997 (28),"Rp1,30Mlyr."
9,Rendy Sanjaya,11 Apr 2004 (21),"Rp869,08Jt."
9,Wigi Pratama,29 Jul 2004 (21),"Rp869,08Jt."
9,Faris Aditama,19 Feb 1988 (37),"Rp173,82Jt."
9,Irkham Mila,2 Mei 1998 (27),"Rp1,74Mlyr."
9,Supriadi,23 Mei 2002 (23),"Rp1,30Mlyr."
9,José Enrique,26 Agt 1995 (30),"Rp4,35Mlyr."
9,Yandi Sofyan,25 Mei 1992 (33),"Rp1,30Mlyr."
10,Aqil Savik,17 Jan 1999 (27),"Rp2,61Mlyr."
10,Awan Setho,19 Mar 1997 (28),"Rp2,61Mlyr."
10,Rakasurya Handika,13 Jun 2000 (25),"Rp869,08Jt."
10,Sultan Jabbar,30 Jul 2008 (17),-
10,Muhammad Ferarri,21 Jun 2003 (22),"Rp4,78Mlyr."
10,Slavko Damjanovic,2 Nov 1992 (33),"Rp3,91Mlyr."
10,Nehar Sadiki,16 Mar 1998 (27),"Rp3,48Mlyr."
10,Léo,22 Apr 2000 (25),"Rp2,61Mlyr."
10,Rahmat Syawal,5 Nov 2005 (20),"Rp869,08Jt."
10,Ferre Murari,26 Jul 2005 (20),"Rp173,82Jt."
10,Firza Andika,11 Mei 1999 (26),"Rp4,35Mlyr."
10,Alan Cardoso,5 Jan 1998 (28),"Rp3,91Mlyr."
10,Frengky Missa,20 Feb 2004 (21),"Rp2,17Mlyr."
10,Putu Gede,7 Jun 1995 (30),"Rp3,48Mlyr."
10,Moisés Gaúcho,24 Sep 1994 (31),"Rp3,48Mlyr."
10,Evandra Florasta,17 Jun 2008 (17),-
10,Christian Ilic,22 Jul 1996 (29),"Rp6,08Mlyr."
10,Lautaro Belleggia,21 Mar 1997 (28),"Rp3,04Mlyr."
10,TM Ichsan,25 Nov 1997 (28),"Rp1,30Mlyr."
10,Wahyu Subo Seto,16 Jul 1993 (32),"Rp1,74Mlyr."
10,Da-bin Ji,3 Mar 2006 (19),-
10,Stjepan Plazonja,2 Jan 1998 (28),"Rp3,91Mlyr."
10,Sani Rizki,7 Jan 1998 (28),"Rp2,61Mlyr."
10,Ginanjar Wahyu,20 Nov 2003 (22),"Rp869,08Jt."
10,Fadly Alberto,22 Jun 2008 (17),-
10,Moussa Sidibé,21 Nov 1994 (31),"Rp4,78Mlyr."
10,Privat Mbarga,7 Jan 1992 (34),"Rp4,35Mlyr."
