name,age,market_value_est,club,league_country
Daffa Fasya,7 Mei 2004 (21),"Rp1,74Mlyr.",Borneo FC Samarinda,Unknown League
Andhika Setiawan,27 Jan 2006 (20),-,Borneo FC Samarinda,Unknown League
Cleylton,19 Mar 1993 (32),"Rp3,91Mlyr.",Borneo FC Samarinda,Unknown League
Komang Teguh,28 Apr 2002 (23),"Rp3,48Mlyr.",Borneo FC Samarinda,Unknown League
Mohammad Al-Husseini,18 Des 2002 (23),"Rp3,04Mlyr.",Borneo FC Samarinda,Unknown League
Caxambu,23 Jan 1997 (29),"Rp4,35Mlyr.",Borneo FC Samarinda,Unknown League
Ardi Idrus,22 Jan 1993 (33),"Rp2,61Mlyr.",Borneo FC Samarinda,Unknown League
Rayhan Utina,8 Agt 2004 (21),"Rp869,08Jt.",Borneo FC Samarinda,Unknown League
Alfharezzi Buffon,28 Apr 2006 (19),"Rp1,30Mlyr.",Borneo FC Samarinda,Unknown League
Diego Michiels,8 Agt 1990 (35),"Rp869,08Jt.",Borneo FC Samarinda,Unknown League
Dika Kuswardani,5 Mar 2003 (22),"Rp434,54Jt.",Borneo FC Samarinda,Unknown League
Christophe Nduwarugira,22 Jun 1994 (31),"Rp6,08Mlyr.",Borneo FC Samarinda,Unknown League
Rivaldo Pakpahan,20 Jan 2003 (23),"Rp3,04Mlyr.",Borneo FC Samarinda,Unknown League
Ahmad Agung,9 Mar 1996 (29),"Rp1,30Mlyr.",Borneo FC Samarinda,Unknown League
Kei Hirose,20 Nov 1995 (30),"Rp6,95Mlyr.",Borneo FC Samarinda,Unknown League
Juan Felipe Villa,10 Okt 1999 (26),"Rp8,69Mlyr.",Borneo FC Samarinda,Unknown League
Marcos Astina,21 Jan 1996 (30),"Rp4,35Mlyr.",Borneo FC Samarinda,Unknown League
Ikhsanul Zikrak,8 Nov 2002 (23),"Rp1,30Mlyr.",Borneo FC Samarinda,Unknown League
Dwiky Hardiansyah,19 Apr 2004 (21),"Rp1,30Mlyr.",Borneo FC Samarinda,Unknown League
Tegar Islami,6 Feb 2006 (19),-,Borneo FC Samarinda,Unknown League
Muhammad Sihran,8 Mar 1999 (26),"Rp3,91Mlyr.",Borneo FC Samarinda,Unknown League
Redzuan Fachgi,8 Mar 2005 (20),"Rp173,82Jt.",Borneo FC Samarinda,Unknown League
Kaio Nunes,11 Jan 1996 (30),-,Borneo FC Samarinda,Unknown League
Mariano Peralta,20 Feb 1998 (27),"Rp10,43Mlyr.",Borneo FC Samarinda,Unknown League
Koldo Obieta,8 Okt 1993 (32),"Rp2,61Mlyr.",Borneo FC Samarinda,Unknown League
Mohammad Khanafi,30 Nov 1997 (28),"Rp1,74Mlyr.",Borneo FC Samarinda,Unknown League
Habibi Jusuf,5 Agt 1998 (27),"Rp1,30Mlyr.",Borneo FC Samarinda,Unknown League
